8306011,84,92,93,82
8306012,80,82,74,82
8306013,80,44,58,61
8306014,86,87,69,81
8306015,90,96,94,82
8306016,86,90,81,76
8306017,96,96,90,92
8306018,76,70,69,51
8306019,88,73,75,69
8306020,36,85,86,87
8306021,86,93,94,91
8306022,78,45,46,49
8306023,66,29,40,29
8306024,90,92,77,86
8306025,92,88,98,92
8306026,92,85,71,77
8306027,80,78,77,59
8306028,74,46,58,57
8306029,62,52,60,56
8306030,86,69,84,79
8306031,92,95,84,79
8306032,94,90,88,79
8306033,96,88,96,87
8306034,58,43,47,41
8306035,78,54,54,61
8306036,82,74,89,67
8306037,86,94,95,86
8306038,86,77,79,72
8306039,78,43,54,52
8306040,80,85,84,79
